tradeId,asset,timestamp,datetime,hourOfDay,dayOfWeek,minuteOfHour,isMarketOpen,direction,directionEncoded,entryPrice,openPrice,highPrice,lowPrice,closePrice,rsi1m,rsi1mPrev,bbUpper,bbMiddle,bbLower,rsi5m,rsi5mPrev,adx15m,sma15m,sma15mPrev,bbWidth,bbWidthPct,pricePositionInBB,distToUpperBB,distToLowerBB,rsiDelta1m,rsiDelta5m,rsiDivergence,smaSlope15m,distToSma15m,atr1m,candleBodyPct,upperWickPct,lowerWickPct,regime,regimeEncoded,strategyType,strategyEncoded,confidence,priceChange1,priceChange5,priceChange15,target,exitReason,pnl,barsHeld
R_100_1764468575684_11,R_100,1756554780,2025-08-30T11:53:00.000Z,11,6,53,1,CALL,1,1223.650000,1224.370000,1225.680000,1223.650000,1223.650000,35.990000,36.650000,1232.318760,1227.678500,1223.038240,40.270000,42.540000,16.015618,1232.626500,1232.864000,0.007559,0.755941,-0.868163,0.708435,0.049995,-0.660000,-2.270000,-4.280000,-0.019264,-0.728242,2.297982,0.354680,0.645320,0,RANGE,1,MEAN_REVERSION,0,80,-0.026144,-0.345308,-0.493608,0,SL,-20.000000,18
R_100_1764468575684_12,R_100,1756570140,2025-08-30T16:09:00.000Z,16,6,9,1,PUT,0,1205.860000,1203.740000,1206.780000,1203.740000,1205.860000,71.830000,68.960000,1203.248429,1195.431000,1187.613571,50.600000,35.780000,34.832322,1216.984500,1218.308500,0.013079,1.307885,1.334070,-0.216573,1.513147,2.870000,14.820000,21.230000,-0.108675,-0.914104,2.571296,0.697368,0.302632,0,BEARISH_TREND,0,MOMENTUM,1,85,0.181111,1.093208,1.088970,0,SL,-20.000000,18
R_100_1764468575684_13,R_100,1756583160,2025-08-30T19:46:00.000Z,19,6,46,1,CALL,1,1251.970000,1253.670000,1253.970000,1250.530000,1251.970000,29.380000,32.570000,1268.878425,1260.471000,1252.063575,54.250000,53.930000,35.352864,1234.385000,1232.526000,0.013340,1.334013,-1.011130,1.350546,-0.007474,-3.190000,0.320000,-24.870000,0.150828,1.424596,2.597923,0.494186,0.087209,0.418605,BULLISH_TREND,2,MOMENTUM,1,85,-0.169047,-0.716098,-0.801845,0,SL,-20.000000,16
R_100_1764468575684_14,R_100,1756584420,2025-08-30T20:07:00.000Z,20,6,7,1,CALL,1,1242.170000,1241.140000,1242.170000,1239.900000,1242.170000,27.500000,22.820000,1261.769307,1251.094500,1240.419693,43.540000,44.620000,31.890589,1236.184000,1234.385000,0.017065,1.706475,-0.836034,1.577828,0.140907,4.680000,-1.080000,-16.040000,0.145741,0.484232,2.541355,0.453744,0,0.546256,BULLISH_TREND,2,MOMENTUM,1,85,0.107992,-0.272967,-0.857996,1,TP,32.000000,7
R_100_1764468575684_15,R_100,1756598340,2025-08-30T23:59:00.000Z,23,6,59,0,CALL,1,1267.580000,1268.190000,1268.520000,1266.800000,1267.580000,29.340000,30.170000,1281.761561,1274.494500,1267.227439,42.600000,52.370000,31.323656,1264.095000,1263.166500,0.011404,1.140383,-0.951485,1.118790,0.027814,-0.830000,-9.770000,-13.260000,0.073506,0.275691,2.320400,0.354651,0.191860,0.453488,BULLISH_TREND,2,MOMENTUM,1,85,-0.037853,-0.507829,-0.883586,0,SL,-20.000000,25
R_100_1764468575684_16,R_100,1756604400,2025-08-31T01:40:00.000Z,1,0,40,1,CALL,1,1261.250000,1262.640000,1263.210000,1261.250000,1261.250000,28.070000,30.190000,1278.332080,1270.167000,1262.001920,39.060000,42.260000,20.801617,1267.943000,1267.399500,0.012857,1.285670,-1.092090,1.354377,-0.059617,-2.120000,-3.200000,-10.990000,0.042883,-0.527863,2.382178,0.709184,0.290816,0,BULLISH_TREND,2,MOMENTUM,1,85,-0.102966,-0.597401,-0.806134,0,SL,-20.000000,5
R_100_1764468575684_17,R_100,1756619760,2025-08-31T05:56:00.000Z,5,0,56,1,CALL,1,1297.210000,1299.110000,1299.820000,1297.210000,1297.210000,27.850000,30.560000,1318.582858,1308.962000,1299.341142,47.200000,54.960000,41.400148,1279.767500,1278.300500,0.014700,1.469998,-1.221513,1.647602,-0.164287,-2.710000,-7.760000,-19.350000,0.114762,1.362943,2.542470,0.727969,0.272031,0,BULLISH_TREND,2,MOMENTUM,1,85,-0.162393,-0.825682,-0.966508,1,TP,32.000000,17
R_100_1764468575684_18,R_100,1756632000,2025-08-31T09:20:00.000Z,9,0,20,1,CALL,1,1315.480000,1319.180000,1319.180000,1315.480000,1315.480000,29.970000,37.670000,1326.484306,1322.198500,1317.912694,42.560000,50.380000,33.619691,1311.953000,1311.185000,0.006483,0.648285,-1.567617,0.836524,-0.184928,-7.700000,-7.820000,-12.590000,0.058573,0.268836,2.369823,1,0,0,BULLISH_TREND,2,MOMENTUM,1,85,-0.278209,-0.517273,-0.706500,0,SL,-20.000000,29
R_100_1764468575684_19,R_100,1756641660,2025-08-31T12:01:00.000Z,12,0,1,1,PUT,0,1298.540000,1297.370000,1299.340000,1296.960000,1298.540000,71.380000,68.960000,1298.347630,1291.218000,1284.088370,53.600000,50.240000,29.114875,1305.286500,1306.004000,0.011043,1.104326,1.026982,-0.014814,1.112914,2.420000,3.360000,17.780000,-0.054939,-0.516860,2.343245,0.491597,0.336134,0.172269,BEARISH_TREND,0,MOMENTUM,1,85,0.115648,0.275682,0.901363,0,TIMEOUT,-9.148736,30
R_100_1764468575684_20,R_100,1756662240,2025-08-31T17:44:00.000Z,17,0,44,1,CALL,1,1317.240000,1319.230000,1319.230000,1317.130000,1317.240000,28.930000,31.730000,1336.081131,1327.569500,1319.057869,47.010000,59.130000,36.086522,1308.329000,1307.315500,0.012823,1.282288,-1.213575,1.430349,-0.138006,-2.800000,-12.120000,-18.080000,0.077525,0.681098,2.720285,0.947619,0,0.052381,BULLISH_TREND,2,MOMENTUM,1,85,-0.152359,-0.737738,-0.976523,0,TIMEOUT,-3.431417,30
