Direction,EntryPrice,ExitPrice,PnL,BarsHeld,ExitReason,RSI,ATR,Volatility,Trend,AgainstTrend,PinBarType,WickRatio,BodyRatio,NearBB,MaxFavorable%,MaxAdverse%,ReachedTP,ReachedSL,ImmediateReversal,NearMiss,Hour,DayOfWeek
CALL,3977.81,3965.88,-6.00,20,SL,61.7,3.9967,medium,sideways,No,bullish,81.7,6.5,No,0.01,0.35,No,Yes,No,No,4,4
PUT,3963.10,3963.39,-0.15,30,TIMEOUT,34.3,3.0654,low,down,No,bearish,85.3,5.8,No,0.39,0.05,No,No,No,Yes,5,4
PUT,3960.98,3970.01,-4.56,30,TIMEOUT,45.9,3.5536,low,sideways,No,bearish,81.5,9.6,No,0.10,0.24,No,No,No,No,6,4
CALL,3971.57,3959.66,-6.00,23,SL,52.4,2.9728,low,sideways,No,bullish,87.9,3.8,No,0.02,0.31,No,Yes,No,No,7,4
CALL,3963.31,3963.11,-0.10,30,TIMEOUT,42.7,2.8812,low,sideways,Yes,bullish,94.9,4.0,Yes,0.10,0.18,No,No,No,No,7,4
PUT,3966.91,3972.45,-2.79,30,TIMEOUT,59.2,2.7441,low,sideways,Yes,bearish,89.9,0.4,Yes,0.05,0.20,No,No,No,No,8,4
PUT,3972.47,3984.39,-6.00,15,SL,56.1,2.1346,low,sideways,Yes,bearish,84.9,10.5,Yes,0.02,0.31,No,Yes,No,No,8,4
CALL,3981.03,3979.16,-0.94,30,TIMEOUT,36.6,3.2040,low,sideways,Yes,bullish,81.6,17.9,No,0.15,0.06,No,No,No,No,10,4
CALL,3979.60,3967.66,-6.00,7,SL,40.2,2.1547,low,sideways,Yes,bullish,67.4,32.6,Yes,0.02,0.31,No,Yes,No,No,11,4
CALL,3970.11,3969.49,-0.31,30,TIMEOUT,35.2,3.6158,low,down,Yes,bullish,70.7,29.3,Yes,0.26,0.23,No,No,No,Yes,12,4
CALL,4011.09,3999.06,-6.00,10,SL,74.5,4.1993,medium,up,No,bullish,70.8,7.7,No,0.05,0.35,No,Yes,No,No,14,4
CALL,4000.56,3988.56,-6.00,11,SL,47.5,4.0946,medium,sideways,Yes,bullish,67.1,21.1,Yes,0.01,0.30,No,Yes,No,No,14,4
